SAMPLE_ID	mutations
aml_ohsu_2022_2499_BA2294	WXS
aml_ohsu_2022_2012_BA2616	WXS
aml_ohsu_2022_2016_BA2816	WXS
aml_ohsu_2022_2539_BA2255	WXS
aml_ohsu_2022_2539_BA2814	WXS
aml_ohsu_2022_2369_BA2631	WXS
aml_ohsu_2022_2075_BA2023	WXS
aml_ohsu_2022_2330_BA2375	WXS
aml_ohsu_2022_2540_BA2254	WXS
aml_ohsu_2022_2373_BA2455	WXS
aml_ohsu_2022_2576_BA2636	WXS
aml_ohsu_2022_2492_BA2325	WXS
aml_ohsu_2022_2399_BA2169	WXS
aml_ohsu_2022_2399_BA2246	WXS
aml_ohsu_2022_2017_BA2156	WXS
aml_ohsu_2022_2567_BA2511	WXS
aml_ohsu_2022_2297_BA2168	WXS
aml_ohsu_2022_2023_BA2834	WXS
aml_ohsu_2022_2413_BA2860	WXS
aml_ohsu_2022_2273_BA2871	WXS
aml_ohsu_2022_2458_BA2655	WXS
aml_ohsu_2022_2045_BA2628	WXS
aml_ohsu_2022_2006_BA2665	WXS
aml_ohsu_2022_2345_BA2227	WXS
aml_ohsu_2022_2563_BA2812	WXS
aml_ohsu_2022_2562_BA2125	WXS
aml_ohsu_2022_2314_BA2603	WXS
aml_ohsu_2022_2300_BA2808	WXS
aml_ohsu_2022_2574_BA2282	WXS
aml_ohsu_2022_2067_BA2482	WXS
aml_ohsu_2022_2227_BA2822	WXS
aml_ohsu_2022_2581_BA3047	WXS
aml_ohsu_2022_2554_BA2594	WXS
aml_ohsu_2022_2205_BA2747	WXS
aml_ohsu_2022_2325_BA2864	WXS
aml_ohsu_2022_2231_BA2561	WXS
aml_ohsu_2022_2231_BA2977	WXS
aml_ohsu_2022_2331_BA2332	WXS
aml_ohsu_2022_2162_BA2567	WXS
aml_ohsu_2022_2561_BA2906	WXS
aml_ohsu_2022_2123_BA2956	WXS
aml_ohsu_2022_2204_BA2963	WXS
aml_ohsu_2022_2569_BA2768	WXS
aml_ohsu_2022_2029_BA2474	WXS
aml_ohsu_2022_2029_BA2065	WXS
aml_ohsu_2022_2512_BA2998	WXS
aml_ohsu_2022_2020_BA2006	WXS
aml_ohsu_2022_2027_BA2936	WXS
aml_ohsu_2022_2305_BA2110	WXS
aml_ohsu_2022_2560_BA2438	WXS
aml_ohsu_2022_2459_BA2071	WXS
aml_ohsu_2022_2317_BA2199	WXS
aml_ohsu_2022_2317_BA2915	WXS
aml_ohsu_2022_2348_BA2992	WXS
aml_ohsu_2022_2394_BA2220	WXS
aml_ohsu_2022_2394_BA2720	WXS
aml_ohsu_2022_2165_BA2063	WXS
aml_ohsu_2022_2165_BA3330	WXS
aml_ohsu_2022_2243_BA2759	WXS
aml_ohsu_2022_2474_BA2982	WXS
aml_ohsu_2022_2397_BA2772	WXS
aml_ohsu_2022_2252_BA2960	WXS
aml_ohsu_2022_2130_BA2935	WXS
aml_ohsu_2022_2447_BA2260	WXS
aml_ohsu_2022_2447_BA2787	WXS
aml_ohsu_2022_2042_BA2073	WXS
aml_ohsu_2022_2008_BA2676	WXS
aml_ohsu_2022_2279_BA2948	WXS
aml_ohsu_2022_2102_BA2498	WXS
aml_ohsu_2022_2082_BA2161	WXS
aml_ohsu_2022_2684_BA3296	WXS
aml_ohsu_2022_2134_BA2524	WXS
aml_ohsu_2022_2448_BA2811	WXS
aml_ohsu_2022_2176_BA2540	WXS
aml_ohsu_2022_2423_BA2358	WXS
aml_ohsu_2022_2490_BA2928	WXS
aml_ohsu_2022_2336_BA2302	WXS
aml_ohsu_2022_2336_BA2343	WXS
aml_ohsu_2022_2388_BA2147	WXS
aml_ohsu_2022_2166_BA2792	WXS
aml_ohsu_2022_2160_BA2651	WXS
aml_ohsu_2022_2148_BA2595	WXS
aml_ohsu_2022_2184_BA2619	WXS
aml_ohsu_2022_2457_BA3013	WXS
aml_ohsu_2022_2457_BA2278	WXS
aml_ohsu_2022_2416_BA2356	WXS
aml_ohsu_2022_2354_BA2018	WXS
aml_ohsu_2022_2354_BA2405	WXS
aml_ohsu_2022_2376_BA2856	WXS
aml_ohsu_2022_2352_BA2557	WXS
aml_ohsu_2022_2233_BA2781	WXS
aml_ohsu_2022_2406_BA2753	WXS
aml_ohsu_2022_2113_BA2699	WXS
aml_ohsu_2022_2385_BA2377	WXS
aml_ohsu_2022_2003_BA2499	WXS
aml_ohsu_2022_2118_BA2059	WXS
aml_ohsu_2022_2167_BA2016	WXS
aml_ohsu_2022_2089_BA2330	WXS
aml_ohsu_2022_2112_BA2350	WXS
aml_ohsu_2022_2149_BA3023	WXS
aml_ohsu_2022_2149_BA2074	WXS
aml_ohsu_2022_2452_BA3026	WXS
aml_ohsu_2022_2199_BA2275	WXS
aml_ohsu_2022_2529_BA2901	WXS
aml_ohsu_2022_2529_BA2221	WXS
aml_ohsu_2022_2454_BA2387	WXS
aml_ohsu_2022_2104_BA2313	WXS
aml_ohsu_2022_2104_BA2517	WXS
aml_ohsu_2022_2104_BA2657	WXS
aml_ohsu_2022_2558_BA2962	WXS
aml_ohsu_2022_2013_BA2195	WXS
aml_ohsu_2022_2289_BA2688	WXS
aml_ohsu_2022_2106_BA2420	WXS
aml_ohsu_2022_2510_BA2727	WXS
aml_ohsu_2022_2169_BA2756	WXS
aml_ohsu_2022_2169_BA2086	WXS
aml_ohsu_2022_2026_BA2122	WXS
aml_ohsu_2022_2370_BA2053	WXS
aml_ohsu_2022_2135_BA2080	WXS
aml_ohsu_2022_2200_BA2415	WXS
aml_ohsu_2022_2358_BA2081	WXS
aml_ohsu_2022_2050_BA2354	WXS
aml_ohsu_2022_2729_BA3273	WXS
aml_ohsu_2022_2455_BA2893	WXS
aml_ohsu_2022_2389_BA2266	WXS
aml_ohsu_2022_2267_BA2044	WXS
aml_ohsu_2022_2335_BA2309	WXS
aml_ohsu_2022_2480_BA2489	WXS
aml_ohsu_2022_2516_BA2908	WXS
aml_ohsu_2022_2058_BA2054	WXS
aml_ohsu_2022_2415_BA2872	WXS
aml_ohsu_2022_2308_BA2197	WXS
aml_ohsu_2022_2523_BA2232	WXS
aml_ohsu_2022_2523_BA3145	WXS
aml_ohsu_2022_2121_BA2041	WXS
aml_ohsu_2022_2575_BA2464	WXS
aml_ohsu_2022_2144_BA2902	WXS
aml_ohsu_2022_2124_BA2491	WXS
aml_ohsu_2022_2484_BA2541	WXS
aml_ohsu_2022_2127_BA2143	WXS
aml_ohsu_2022_2051_BA2380	WXS
aml_ohsu_2022_2813_BA3301	WXS
aml_ohsu_2022_2482_BA2769	WXS
aml_ohsu_2022_2178_BA2843	WXS
aml_ohsu_2022_2435_BA2974	WXS
aml_ohsu_2022_2517_BA2497	WXS
aml_ohsu_2022_2119_BA2718	WXS
aml_ohsu_2022_2043_BA2575	WXS
aml_ohsu_2022_2404_BA3008	WXS
aml_ohsu_2022_2582_BA3049	WXS
aml_ohsu_2022_2477_BA2008	WXS
aml_ohsu_2022_2573_BA2791	WXS
aml_ohsu_2022_2150_BA2620	WXS
aml_ohsu_2022_2486_BA2629	WXS
aml_ohsu_2022_2180_BA3020	WXS
aml_ohsu_2022_2180_BA2965	WXS
aml_ohsu_2022_2364_BA2870	WXS
aml_ohsu_2022_2151_BA2423	WXS
aml_ohsu_2022_2103_BA2682	WXS
aml_ohsu_2022_2294_BA2276	WXS
aml_ohsu_2022_2032_BA2348	WXS
aml_ohsu_2022_2346_BA2709	WXS
aml_ohsu_2022_2141_BA2789	WXS
aml_ohsu_2022_2552_BA2650	WXS
aml_ohsu_2022_2552_BA2694	WXS
aml_ohsu_2022_2244_BA2722	WXS
aml_ohsu_2022_2583_BA3051	WXS
aml_ohsu_2022_2283_BA2538	WXS
aml_ohsu_2022_2175_BA2583	WXS
aml_ohsu_2022_2056_BA2292	WXS
aml_ohsu_2022_2285_BA2806	WXS
aml_ohsu_2022_2293_BA2268	WXS
aml_ohsu_2022_2301_BA2153	WXS
aml_ohsu_2022_2301_BA2674	WXS
aml_ohsu_2022_2301_BA2809	WXS
aml_ohsu_2022_2262_BA3025	WXS
aml_ohsu_2022_2258_BA2777	WXS
aml_ohsu_2022_2225_BA2523	WXS
aml_ohsu_2022_2225_BA2206	WXS
aml_ohsu_2022_2324_BA3027	WXS
aml_ohsu_2022_2214_BA2835	WXS
aml_ohsu_2022_2189_BA2049	WXS
aml_ohsu_2022_2250_BA2441	WXS
aml_ohsu_2022_2409_BA2514	WXS
aml_ohsu_2022_2409_BA2695	WXS
aml_ohsu_2022_2400_BA2520	WXS
aml_ohsu_2022_2237_BA2671	WXS
aml_ohsu_2022_2001_BA2702	WXS
aml_ohsu_2022_2174_BA2805	WXS
aml_ohsu_2022_2362_BA3028	WXS
aml_ohsu_2022_2217_BA2157	WXS
aml_ohsu_2022_2069_BA2932	WXS
aml_ohsu_2022_2000_BA2123	WXS
aml_ohsu_2022_2275_BA2844	WXS
aml_ohsu_2022_2170_BA2660	WXS
aml_ohsu_2022_2242_BA2836	WXS
aml_ohsu_2022_2366_BA2714	WXS
aml_ohsu_2022_2366_BA3317	WXS
aml_ohsu_2022_2024_BA2606	WXS
aml_ohsu_2022_2263_BA2440	WXS
aml_ohsu_2022_2445_BA2036	WXS
aml_ohsu_2022_2306_BA2828	WXS
aml_ohsu_2022_2334_BA2251	WXS
aml_ohsu_2022_2584_BA3053	WXS
aml_ohsu_2022_2114_BA2952	WXS
aml_ohsu_2022_2495_BA2410	WXS
aml_ohsu_2022_2342_BA2139	WXS
aml_ohsu_2022_2464_BA2051	WXS
aml_ohsu_2022_2323_BA2532	WXS
aml_ohsu_2022_2110_BA2986	WXS
aml_ohsu_2022_2246_BA2494	WXS
aml_ohsu_2022_2585_BA3056	WXS
aml_ohsu_2022_2585_BA3054	WXS
aml_ohsu_2022_2502_BA2666	WXS
aml_ohsu_2022_2533_BA2515	WXS
aml_ohsu_2022_2566_BA2748	WXS
aml_ohsu_2022_2566_BA2577	WXS
aml_ohsu_2022_2453_BA2622	WXS
aml_ohsu_2022_2453_BA2758	WXS
aml_ohsu_2022_2453_BA2930	WXS
aml_ohsu_2022_2098_BA2164	WXS
aml_ohsu_2022_2327_BA2970	WXS
aml_ohsu_2022_2586_BA3058	WXS
aml_ohsu_2022_2587_BA3061	WXS
aml_ohsu_2022_2470_BA2238	WXS
aml_ohsu_2022_2107_BA2839	WXS
aml_ohsu_2022_2048_BA2112	WXS
aml_ohsu_2022_2048_BA3080	WXS
aml_ohsu_2022_2442_BA2868	WXS
aml_ohsu_2022_2236_BA3011	WXS
aml_ohsu_2022_2412_BA2052	WXS
aml_ohsu_2022_2073_BA2510	WXS
aml_ohsu_2022_2521_BA2691	WXS
aml_ohsu_2022_2571_BA2366	WXS
aml_ohsu_2022_2487_BA2374	WXS
aml_ohsu_2022_2101_BA2804	WXS
aml_ohsu_2022_2456_BA2670	WXS
aml_ohsu_2022_2133_BA2675	WXS
aml_ohsu_2022_2387_BA2031	WXS
aml_ohsu_2022_2387_BA2146	WXS
aml_ohsu_2022_2064_BA2589	WXS
aml_ohsu_2022_2338_BA2933	WXS
aml_ohsu_2022_2338_BA2198	WXS
aml_ohsu_2022_2066_BA2066	WXS
aml_ohsu_2022_2449_BA2422	WXS
aml_ohsu_2022_2077_BA2344	WXS
aml_ohsu_2022_2077_BA2534	WXS
aml_ohsu_2022_2350_BA2459	WXS
aml_ohsu_2022_2240_BA2229	WXS
aml_ohsu_2022_2329_BA2559	WXS
aml_ohsu_2022_2343_BA2093	WXS
aml_ohsu_2022_2304_BA2000	WXS
aml_ohsu_2022_2532_BA2425	WXS
aml_ohsu_2022_2019_BA2905	WXS
aml_ohsu_2022_2010_BA2304	WXS
aml_ohsu_2022_2494_BA2976	WXS
aml_ohsu_2022_2292_BA2386	WXS
aml_ohsu_2022_2292_BA2879	WXS
aml_ohsu_2022_2292_BA3400	WXS
aml_ohsu_2022_2147_BA2181	WXS
aml_ohsu_2022_2424_BA2035	WXS
aml_ohsu_2022_2524_BA2760	WXS
aml_ohsu_2022_2291_BA2201	WXS
aml_ohsu_2022_2072_BA2642	WXS
aml_ohsu_2022_2088_BA2113	WXS
aml_ohsu_2022_2402_BA2155	WXS
aml_ohsu_2022_2039_BA2955	WXS
aml_ohsu_2022_2328_BA2502	WXS
aml_ohsu_2022_2060_BA2322	WXS
aml_ohsu_2022_2588_BA3062	WXS
aml_ohsu_2022_2065_BA2020	WXS
aml_ohsu_2022_2357_BA2166	WXS
aml_ohsu_2022_2076_BA2886	WXS
aml_ohsu_2022_2014_BA2226	WXS
aml_ohsu_2022_2513_BA2376	WXS
aml_ohsu_2022_2360_BA2889	WXS
aml_ohsu_2022_2371_BA2200	WXS
aml_ohsu_2022_2356_BA2121	WXS
aml_ohsu_2022_2577_BA2944	WXS
aml_ohsu_2022_2589_BA3064	WXS
aml_ohsu_2022_2432_BA2033	WXS
aml_ohsu_2022_2116_BA2867	WXS
aml_ohsu_2022_2080_BA2089	WXS
aml_ohsu_2022_2080_BA2034	WXS
aml_ohsu_2022_2202_BA2224	WXS
aml_ohsu_2022_2202_BA2470	WXS
aml_ohsu_2022_2265_BA2046	WXS
aml_ohsu_2022_2111_BA2972	WXS
aml_ohsu_2022_2411_BA2978	WXS
aml_ohsu_2022_2238_BA2829	WXS
aml_ohsu_2022_2238_BA2579	WXS
aml_ohsu_2022_2238_BA2249	WXS
aml_ohsu_2022_2238_BA2979	WXS
aml_ohsu_2022_2437_BA2851	WXS
aml_ohsu_2022_2215_BA2587	WXS
aml_ohsu_2022_2025_BA2461	WXS
aml_ohsu_2022_2122_BA2024	WXS
aml_ohsu_2022_2049_BA2623	WXS
aml_ohsu_2022_2511_BA2426	WXS
aml_ohsu_2022_2386_BA2271	WXS
aml_ohsu_2022_2420_BA3004	WXS
aml_ohsu_2022_2478_BA3010	WXS
aml_ohsu_2022_2393_BA2662	WXS
aml_ohsu_2022_2044_BA2280	WXS
aml_ohsu_2022_2044_BA2277	WXS
aml_ohsu_2022_2137_BA2230	WXS
aml_ohsu_2022_2218_BA2658	WXS
aml_ohsu_2022_2218_BA2484	WXS
aml_ohsu_2022_2257_BA2512	WXS
aml_ohsu_2022_2375_BA2457	WXS
aml_ohsu_2022_2381_BA2394	WXS
aml_ohsu_2022_2018_BA2950	WXS
aml_ohsu_2022_2156_BA2981	WXS
aml_ohsu_2022_2226_BA2668	WXS
aml_ohsu_2022_2351_BA2539	WXS
aml_ohsu_2022_2177_BA2339	WXS
aml_ohsu_2022_2177_BA2786	WXS
aml_ohsu_2022_2425_BA2738	WXS
aml_ohsu_2022_2074_BA2256	WXS
aml_ohsu_2022_2172_BA2483	WXS
aml_ohsu_2022_2172_BA3002	WXS
aml_ohsu_2022_2251_BA2109	WXS
aml_ohsu_2022_2507_BA2242	WXS
aml_ohsu_2022_2140_BA2132	WXS
aml_ohsu_2022_2498_BA2618	WXS
aml_ohsu_2022_2004_BA2846	WXS
aml_ohsu_2022_2433_BA2521	WXS
aml_ohsu_2022_2139_BA2885	WXS
aml_ohsu_2022_2368_BA2639	WXS
aml_ohsu_2022_2138_BA2775	WXS
aml_ohsu_2022_2410_BA2402	WXS
aml_ohsu_2022_2201_BA2925	WXS
aml_ohsu_2022_2201_BA2097	WXS
aml_ohsu_2022_2590_BA3065	WXS
aml_ohsu_2022_2421_BA2114	WXS
aml_ohsu_2022_2287_BA2661	WXS
aml_ohsu_2022_2196_BA2399	WXS
aml_ohsu_2022_2068_BA2692	WXS
aml_ohsu_2022_2514_BA2103	WXS
aml_ohsu_2022_2210_BA2850	WXS
aml_ohsu_2022_2210_BA2993	WXS
aml_ohsu_2022_2210_BA2566	WXS
aml_ohsu_2022_2210_BA3389	WXS
aml_ohsu_2022_2319_BA2027	WXS
aml_ohsu_2022_2009_BA2451	WXS
aml_ohsu_2022_2009_BA3322	WXS
aml_ohsu_2022_2341_BA2174	WXS
aml_ohsu_2022_2341_BA2314	WXS
aml_ohsu_2022_2136_BA2004	WXS
aml_ohsu_2022_2344_BA3001	WXS
aml_ohsu_2022_2565_BA2664	WXS
aml_ohsu_2022_2090_BA2911	WXS
aml_ohsu_2022_2222_BA2311	WXS
aml_ohsu_2022_2155_BA2669	WXS
aml_ohsu_2022_2183_BA3040	WXS
aml_ohsu_2022_2041_BA2724	WXS
aml_ohsu_2022_2322_BA2837	WXS
aml_ohsu_2022_2145_BA2821	WXS
aml_ohsu_2022_2337_BA2363	WXS
aml_ohsu_2022_2316_BA2233	WXS
aml_ohsu_2022_2232_BA2744	WXS
aml_ohsu_2022_2031_BA2501	WXS
aml_ohsu_2022_2197_BA2301	WXS
aml_ohsu_2022_2568_BA2880	WXS
aml_ohsu_2022_2347_BA2621	WXS
aml_ohsu_2022_2436_BA2852	WXS
